source_table,AlbumId,Title,ArtistId,Name,CustomerId,FirstName,LastName,Company,Address,City,State,Country,PostalCode,Phone,Fax,Email,SupportRepId,EmployeeId,ReportsTo,BirthDate,HireDate,GenreId,InvoiceId,InvoiceDate,BillingAddress,BillingCity,BillingState,BillingCountry,BillingPostalCode,Total,InvoiceLineId,TrackId,UnitPrice,Quantity,MediaTypeId,PlaylistId,Composer,Milliseconds,Bytes
Album,1.0,For Those About To Rock We Salute You,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,2.0,Balls to the Wall,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,3.0,Restless and Wild,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,4.0,Let There Be Rock,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,5.0,Big Ones,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,6.0,Jagged Little Pill,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,7.0,Facelift,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,8.0,Warner 25 Anos,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,9.0,Plays Metallica By Four Cellos,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,10.0,Audioslave,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,11.0,Out Of Exile,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,12.0,BackBeat Soundtrack,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,13.0,The Best Of Billy Cobham,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,14.0,Alcohol Fueled Brewtality Live! [Disc 1],11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,15.0,Alcohol Fueled Brewtality Live! [Disc 2],11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,16.0,Black Sabbath,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,17.0,Black Sabbath Vol. 4 (Remaster),12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,18.0,Body Count,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,19.0,Chemical Wedding,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,20.0,The Best Of Buddy Guy - The Millenium Collection,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,21.0,Prenda Minha,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,22.0,Sozinho Remix Ao Vivo,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,23.0,Minha Historia,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,24.0,Afrociberdelia,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,25.0,Da Lama Ao Caos,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,26.0,Acústico MTV [Live],19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,27.0,Cidade Negra - Hits,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,28.0,Na Pista,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,29.0,Axé Bahia 2001,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,30.0,BBC Sessions [Disc 1] [Live],22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,31.0,Bongo Fury,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,32.0,Carnaval 2001,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,33.0,Chill: Brazil (Disc 1),24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,34.0,Chill: Brazil (Disc 2),6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,35.0,Garage Inc. (Disc 1),50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,36.0,Greatest Hits II,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
